,X.x,Label.x,ID.x,Vol...mm..x,x.Cent..mm..x,y.Cent..mm..x,z.Cent..mm..x,Thickness..mm..x,SD.Thickness..mm..x,Max.Thickness..mm..x,SA..mm.
1,1,ad_122_Cross.tif,1,0.39,31.19,11.24,0.14,0.61,0.16,0.76,5.25099
10,10,ad_122_Cross.tif,10,0.00054,19.26,13.02,0.06,0.07,0.01,0.07,0.01479
11,11,ad_122_Cross.tif,11,1.00E-04,16.13,13.3,0.01,0.05,0,0.05,0.00072
12,12,ad_122_Cross.tif,12,0.05,10.17,14.01,0.35,0.15,0.04,0.22,1.40922
13,13,ad_122_Cross.tif,13,0.00045,11.02,14.97,0.01,0.06,0.01,0.07,0.00924
14,14,ad_122_Cross.tif,14,1,8.6,16.72,1.17,0.22,0.08,0.35,17.53315
15,15,ad_122_Cross.tif,15,0.00065,10.06,16.54,0.01,0.07,0.01,0.08,0.02269
16,16,ad_122_Cross.tif,16,0.00029,9.76,17.95,0.01,0.06,0.01,0.07,0.00721
17,17,ad_122_Cross.tif,17,1.00E-05,9.39,18.43,0,0.05,0,0.05,0
18,18,ad_122_Cross.tif,18,0.01,8.01,19.62,0.04,0.14,0.02,0.16,0.21648
19,19,ad_122_Cross.tif,19,0.56,0.2,22.85,0.2,0.36,0.12,0.49,7.43311
2,2,ad_122_Cross.tif,2,0.03,29.77,11.77,0.18,0.15,0.04,0.2,0.71476
20,20,ad_122_Cross.tif,20,0.71,3.74,22.14,0.75,0.26,0.09,0.39,10.7313
21,21,ad_122_Cross.tif,21,0,4.18,22.96,0.05,0.1,0.01,0.11,0.06642
22,22,ad_122_Cross.tif,22,0.00028,3.04,23.07,0,0.05,0,0.05,0.00256
23,23,ad_122_Cross.tif,23,0.03,1.63,24.16,0.48,0.16,0.04,0.21,0.7473
24,24,ad_122_Cross.tif,24,0.74,0.77,10.38,12.59,0.12,0.04,0.21,20.06961
25,25,ad_122_Cross.tif,25,0.95,0.5,24.07,30.35,0.31,0.14,0.53,13.04735
26,26,ad_122_Cross.tif,26,0.58,0.39,21.58,30.57,0.22,0.08,0.39,10.86961
27,27,ad_122_Cross.tif,27,0.11,29.71,11.08,30.66,0.15,0.05,0.24,2.70431
28,28,ad_122_Cross.tif,28,0.29,26.8,11.56,30.95,0.18,0.06,0.28,6.16841
29,29,ad_122_Cross.tif,29,0.08,18.21,12.83,30.97,0.17,0.05,0.24,1.84653
3,3,ad_122_Cross.tif,3,0.02,28.89,11.89,0.09,0.15,0.04,0.21,0.62341
30,30,ad_122_Cross.tif,30,0.15,1.61,21.22,30.99,0.22,0.06,0.29,2.36595
31,31,ad_122_Cross.tif,31,0.07,1.33,23.65,31.09,0.19,0.04,0.25,1.42902
32,32,ad_122_Cross.tif,32,0.01,15.6,13.11,31.29,0.11,0.03,0.15,0.57969
33,33,ad_122_Cross.tif,33,0.01,28.31,11.71,31.3,0.16,0.05,0.21,0.40564
34,34,ad_122_Cross.tif,34,0,19.97,13.04,31.28,0.09,0.02,0.11,0.11732
35,35,ad_122_Cross.tif,35,0.01,9.84,13.1,31.25,0.1,0.01,0.12,0.265
36,36,ad_122_Cross.tif,36,0,10.48,13.26,31.3,0.1,0.01,0.11,0.05611
37,37,ad_122_Cross.tif,37,0.00015,0.93,24.77,31.35,0.05,0,0.05,0.0042
38,38,ad_122_Cross.tif,38,7.00E-05,13.04,13.47,31.36,0.05,0,0.05,0
4,4,ad_122_Cross.tif,4,0.04,22.16,12.74,0.25,0.13,0.04,0.18,0.9659
5,5,ad_122_Cross.tif,5,0.07,12.14,13.12,0.43,0.14,0.03,0.2,1.71988
6,6,ad_122_Cross.tif,6,0.01,15.79,13.13,0.04,0.12,0.01,0.14,0.17842
7,7,ad_122_Cross.tif,7,7.00E-04,20.67,12.96,0.07,0.06,0.01,0.07,0.01574
8,8,ad_122_Cross.tif,8,0.03,18.53,12.91,0.25,0.14,0.04,0.19,0.92676
9,9,ad_122_Cross.tif,9,0.00011,19.06,13,0.01,0.05,0,0.05,0.00337
