,X.x,Label.x,ID.x,Vol...mm..x,x.Cent..mm..x,y.Cent..mm..x,z.Cent..mm..x,Thickness..mm.,SD.Thickness..mm.,Max.Thickness..mm.,SA..mm.
1,1,ar_122_Cross.tif,1,0.08,27.84,11.03,0.32,0.14,0.03,0.2,1.89457
10,10,ar_122_Cross.tif,10,0.41,28.71,11.36,29.67,0.18,0.06,0.31,8.80542
11,11,ar_122_Cross.tif,11,0.02,31.29,10.88,31.07,0.15,0.05,0.21,0.48814
12,12,ar_122_Cross.tif,12,0.03,5.3,12.58,31.02,0.16,0.03,0.2,0.65944
13,13,ar_122_Cross.tif,13,0.01,19.45,12.39,31.22,0.12,0.02,0.15,0.41907
14,14,ar_122_Cross.tif,14,0.02,14.2,12.72,31.27,0.15,0.04,0.2,0.54461
15,15,ar_122_Cross.tif,15,0,17.4,12.63,31.3,0.1,0,0.11,0.07201
16,16,ar_122_Cross.tif,16,0,12.81,12.75,31.28,0.08,0.01,0.1,0.07111
17,17,ar_122_Cross.tif,17,0,24.26,11.8,31.33,0.14,0.01,0.14,0.10386
18,18,ar_122_Cross.tif,18,4.00E-04,24.66,12.11,31.32,0.05,0,0.05,0.01614
19,19,ar_122_Cross.tif,19,0.00021,9.7,12.65,31.34,0.07,0,0.07,0.01021
2,2,ar_122_Cross.tif,2,0.02,31.18,10.95,0.35,0.14,0.03,0.17,0.45624
20,20,ar_122_Cross.tif,20,0.00014,14.89,12.7,31.35,0.05,0,0.05,0.00314
21,21,ar_122_Cross.tif,21,0.00017,10.93,12.68,31.35,0.05,0,0.05,0
22,22,ar_122_Cross.tif,22,0.00032,12.14,12.77,31.36,0.08,0.01,0.08,0.01013
3,3,ar_122_Cross.tif,3,0.00034,26.13,11.65,0.02,0.07,0,0.07,0.01204
4,4,ar_122_Cross.tif,4,0.35,7.51,12.34,0.73,0.27,0.11,0.42,5.70523
5,5,ar_122_Cross.tif,5,0.13,1.31,12.74,0.26,0.25,0.08,0.38,2.06668
6,6,ar_122_Cross.tif,6,0,17.84,12.31,0.02,0.11,0.01,0.12,0.06018
7,7,ar_122_Cross.tif,7,0.03,2.11,12.65,0.11,0.19,0.05,0.24,0.78019
8,8,ar_122_Cross.tif,8,4.00E-05,15.91,12.49,0.01,0.05,0,0.05,0
9,9,ar_122_Cross.tif,9,0.00025,13.45,12.54,0.04,0.06,0.01,0.07,0
