,X.x,Label.x,ID.x,Vol...mm..x,x.Cent..mm..x,y.Cent..mm..x,z.Cent..mm..x,Thickness..mm.,SD.Thickness..mm.,Max.Thickness..mm.,SA..mm.
1,1,br_122_Cross.tif,1,673.91,13.41,7.77,16.31,0.13,0.05,0.45,18336.14745
10,10,br_122_Cross.tif,10,0,27.54,11.61,0.08,0.09,0.02,0.12,0.17028
11,11,br_122_Cross.tif,11,0.00091,28.39,11.6,0.03,0.08,0.02,0.1,0.03319
12,12,br_122_Cross.tif,12,1.00E-05,31,11.62,0,0.05,0,0.05,0
13,13,br_122_Cross.tif,13,0.01,25.21,11.68,0.21,0.09,0.02,0.11,0.22597
14,14,br_122_Cross.tif,14,0.01,13.74,11.92,0.25,0.1,0.03,0.14,0.44951
15,15,br_122_Cross.tif,15,4.00E-05,27.61,11.78,0.02,0.05,0,0.05,0
16,16,br_122_Cross.tif,16,0.00065,19.31,11.87,0.06,0.06,0.01,0.07,0.01216
17,17,br_122_Cross.tif,17,7.00E-05,26.9,11.87,0.01,0.05,0,0.05,0.00059
18,18,br_122_Cross.tif,18,3.00E-05,19.43,11.91,0.01,0.05,0,0.05,0
19,19,br_122_Cross.tif,19,7.00E-05,19.6,11.96,0.01,0.05,0,0.05,0
2,2,br_122_Cross.tif,2,0.56,9.11,11.05,0.68,0.11,0.03,0.2,17.26399
20,20,br_122_Cross.tif,20,0.00047,14.04,12.08,0.03,0.06,0.01,0.07,0.01136
21,21,br_122_Cross.tif,21,0.00017,17.87,11.99,0.02,0.05,0,0.05,0.00485
22,22,br_122_Cross.tif,22,0.00021,23.85,12,0.01,0.07,0,0.07,0.00693
23,23,br_122_Cross.tif,23,3.00E-05,21.07,12,0,0.05,0,0.05,0
24,24,br_122_Cross.tif,24,0,14.58,12.09,0.15,0.09,0.02,0.11,0.09443
25,25,br_122_Cross.tif,25,7.00E-05,11.56,12.2,0,0.05,0,0.05,0
26,26,br_122_Cross.tif,26,0.00023,12.5,12.16,0.09,0.05,0,0.05,0
27,27,br_122_Cross.tif,27,3.00E-05,11.15,12.24,0.01,0.05,0,0.05,0
28,28,br_122_Cross.tif,28,0.00017,14.68,12.28,0.02,0.06,0.01,0.07,0.00525
29,29,br_122_Cross.tif,29,0.00033,6.09,12.35,0.02,0.08,0,0.08,0.01128
3,3,br_122_Cross.tif,3,0.77,17.62,11.39,1.53,0.12,0.04,0.21,21.16303
30,30,br_122_Cross.tif,30,0.00028,5.96,12.4,0.03,0.07,0.01,0.07,0.00085
31,31,br_122_Cross.tif,31,0,2.34,12.57,0.05,0.08,0.02,0.1,0.07686
32,32,br_122_Cross.tif,32,8.00E-05,0.8,12.56,0.02,0.05,0,0.05,0.00056
33,33,br_122_Cross.tif,33,3.00E-05,2.13,12.6,0.01,0.05,0,0.05,0
34,34,br_122_Cross.tif,34,3.00E-05,3.67,12.61,0,0.05,0,0.05,0
35,35,br_122_Cross.tif,35,2.65,29.99,10.45,30.15,0.14,0.05,0.28,69.89433
36,36,br_122_Cross.tif,36,0.28,0.75,11.85,30.67,0.12,0.03,0.2,7.95182
37,37,br_122_Cross.tif,37,0.29,6.13,10.54,30.79,0.11,0.03,0.2,8.77469
38,38,br_122_Cross.tif,38,0.09,25.74,11.85,31.06,0.1,0.03,0.16,3.06618
39,39,br_122_Cross.tif,39,0.03,16.28,11.48,31.16,0.1,0.02,0.14,0.85328
4,4,br_122_Cross.tif,4,0.05,19.57,11.09,0.2,0.11,0.03,0.17,1.59508
40,40,br_122_Cross.tif,40,0.02,23.04,11.75,31.17,0.09,0.02,0.12,0.58745
41,41,br_122_Cross.tif,41,0.03,0.19,11.94,31.25,0.1,0.03,0.15,0.96928
42,42,br_122_Cross.tif,42,0.01,3.53,12.02,31.16,0.12,0.02,0.14,0.36381
43,43,br_122_Cross.tif,43,0,12.67,11.67,31.28,0.12,0.03,0.14,0.16918
44,44,br_122_Cross.tif,44,0,1.97,12.06,31.29,0.09,0.02,0.11,0.16844
45,45,br_122_Cross.tif,45,0.00074,5.6,12.03,31.22,0.06,0.01,0.07,0.00689
46,46,br_122_Cross.tif,46,0.01,15.34,11.56,31.28,0.09,0.03,0.14,0.28156
47,47,br_122_Cross.tif,47,0,21.89,11.8,31.32,0.08,0.01,0.1,0.12331
48,48,br_122_Cross.tif,48,0.01,24.72,11.94,31.31,0.1,0.03,0.14,0.25673
49,49,br_122_Cross.tif,49,0,12.16,11.73,31.25,0.08,0.02,0.1,0.0753
5,5,br_122_Cross.tif,5,0.49,21.78,11.35,0.85,0.11,0.03,0.22,14.71473
50,50,br_122_Cross.tif,50,0,19.92,11.86,31.31,0.09,0.01,0.1,0.08752
51,51,br_122_Cross.tif,51,0,8.16,11.81,31.33,0.07,0.01,0.08,0.05456
52,52,br_122_Cross.tif,52,0,21.34,12.12,31.33,0.08,0.01,0.1,0.0446
53,53,br_122_Cross.tif,53,0.00074,6.42,11.96,31.33,0.08,0.01,0.08,0.0339
54,54,br_122_Cross.tif,54,0.00081,27.48,12.11,31.33,0.09,0.01,0.1,0.03876
55,55,br_122_Cross.tif,55,0.00076,30.3,12.19,31.33,0.07,0.01,0.08,0.03695
56,56,br_122_Cross.tif,56,0.00081,8.51,11.91,31.34,0.09,0.01,0.1,0.03119
57,57,br_122_Cross.tif,57,0.00036,11.67,11.9,31.32,0.05,0,0.05,0.00313
58,58,br_122_Cross.tif,58,0.00034,12.95,11.73,31.35,0.08,0,0.08,0.02052
59,59,br_122_Cross.tif,59,0.00061,4.26,11.88,31.35,0.08,0,0.08,0.0399
6,6,br_122_Cross.tif,6,0.07,29.2,11.56,0.37,0.11,0.03,0.17,2.06389
60,60,br_122_Cross.tif,60,4.00E-04,20.44,12.13,31.34,0.06,0.01,0.07,0.00962
61,61,br_122_Cross.tif,61,4.00E-05,1.73,12.2,31.34,0.05,0,0.05,0
62,62,br_122_Cross.tif,62,0.00025,14.9,11.75,31.36,0.07,0.01,0.07,0.0067
63,63,br_122_Cross.tif,63,0.00012,19.19,11.88,31.36,0.07,0,0.07,0.00265
64,64,br_122_Cross.tif,64,3.00E-05,6.78,11.91,31.35,0.05,0,0.05,0
65,65,br_122_Cross.tif,65,0.00018,21.53,12.1,31.36,0.05,0,0.05,0.00246
66,66,br_122_Cross.tif,66,0.00012,29.85,12.14,31.35,0.05,0,0.05,0.00459
67,67,br_122_Cross.tif,67,3.00E-05,19.72,11.87,31.36,0.05,0,0.05,0
68,68,br_122_Cross.tif,68,1.00E-05,5.34,11.88,31.36,0.05,0,0.05,0
69,69,br_122_Cross.tif,69,3.00E-05,4.13,11.91,31.36,0.05,0,0.05,0
7,7,br_122_Cross.tif,7,0.81,30,11.04,1.62,0.16,0.08,0.34,19.91873
70,70,br_122_Cross.tif,70,1.00E-05,19.07,11.91,31.36,0.05,0,0.05,0
71,71,br_122_Cross.tif,71,3.00E-05,20.99,12.18,31.36,0.05,0,0.05,0
72,72,br_122_Cross.tif,72,1.00E-05,22.28,12.24,31.36,0.05,0,0.05,0
73,73,br_122_Cross.tif,73,1.00E-05,29.3,12.44,31.36,0.05,0,0.05,0
8,8,br_122_Cross.tif,8,0.02,23.7,11.65,0.1,0.11,0.03,0.14,0.52704
9,9,br_122_Cross.tif,9,0.01,16.07,11.7,0.07,0.09,0.02,0.11,0.3228
